permno,adate,qdate,public_date,bm,TICKER
12490,20031231,20040930,20041130,0.208,IBM
12490,20031231,20040930,20041231,0.208,IBM
12490,20031231,20040930,20050131,0.208,IBM
12490,20041231,20041231,20050228,0.195,IBM
12490,20041231,20041231,20050331,0.195,IBM
12490,20041231,20041231,20050430,0.195,IBM
12490,20041231,20050331,20050531,0.203,IBM
12490,20041231,20050331,20050630,0.203,IBM
12490,20041231,20050331,20050731,0.203,IBM
12490,20041231,20050630,20050831,0.254,IBM
12490,20041231,20050630,20050930,0.254,IBM
12490,20041231,20050630,20051031,0.254,IBM
12490,20041231,20050930,20051130,0.239,IBM
12490,20041231,20050930,20051231,0.239,IBM
12490,20041231,20050930,20060131,0.239,IBM
12490,20051231,20051231,20060228,0.268,IBM
12490,20051231,20051231,20060331,0.268,IBM
12490,20051231,20051231,20060430,0.268,IBM
12490,20051231,20060331,20060531,0.256,IBM
12490,20051231,20060331,20060630,0.256,IBM
12490,20051231,20060331,20060731,0.256,IBM
12490,20051231,20060630,20060831,0.287,IBM
12490,20051231,20060630,20060930,0.287,IBM
12490,20051231,20060630,20061031,0.287,IBM
12490,20051231,20060930,20061130,0.277,IBM
12490,20051231,20060930,20061231,0.277,IBM
12490,20051231,20060930,20070131,0.277,IBM
12490,20061231,20061231,20070228,0.199,IBM
12490,20061231,20061231,20070331,0.199,IBM
12490,20061231,20061231,20070430,0.199,IBM
12490,20061231,20070331,20070531,0.199,IBM
12490,20061231,20070331,20070630,0.199,IBM
12490,20061231,20070331,20070731,0.199,IBM
12490,20061231,20070630,20070831,0.117,IBM
12490,20061231,20070630,20070930,0.117,IBM
12490,20061231,20070630,20071031,0.117,IBM
12490,20061231,20070930,20071130,0.127,IBM
12490,20061231,20070930,20071231,0.127,IBM
12490,20061231,20070930,20080131,0.127,IBM
12490,20071231,20071231,20080229,0.197,IBM
12490,20071231,20071231,20080331,0.197,IBM
12490,20071231,20071231,20080430,0.197,IBM
12490,20071231,20080331,20080531,0.182,IBM
12490,20071231,20080331,20080630,0.182,IBM
12490,20071231,20080331,20080731,0.182,IBM
12490,20071231,20080630,20080831,0.176,IBM
12490,20071231,20080630,20080930,0.176,IBM
12490,20071231,20080630,20081031,0.176,IBM
12490,20071231,20080930,20081130,0.175,IBM
12490,20071231,20080930,20081231,0.175,IBM
12490,20071231,20080930,20090131,0.175,IBM
12490,20081231,20081231,20090228,0.122,IBM
12490,20081231,20081231,20090331,0.122,IBM
12490,20081231,20081231,20090430,0.122,IBM
12490,20081231,20090331,20090531,0.106,IBM
12490,20081231,20090331,20090630,0.106,IBM
12490,20081231,20090331,20090731,0.106,IBM
12490,20081231,20090630,20090831,0.112,IBM
12490,20081231,20090630,20090930,0.112,IBM
12490,20081231,20090630,20091031,0.112,IBM
12490,20081231,20090930,20091130,0.117,IBM
12490,20081231,20090930,20091231,0.117,IBM
12490,20081231,20090930,20100131,0.117,IBM
12490,20091231,20091231,20100228,0.135,IBM
12490,20091231,20091231,20100331,0.135,IBM
12490,20091231,20091231,20100430,0.135,IBM
12490,20091231,20100331,20100531,0.134,IBM
12490,20091231,20100331,20100630,0.134,IBM
12490,20091231,20100331,20100731,0.134,IBM
12490,20091231,20100630,20100831,0.135,IBM
12490,20091231,20100630,20100930,0.135,IBM
12490,20091231,20100630,20101031,0.135,IBM
12490,20091231,20100930,20101130,0.133,IBM
12490,20091231,20100930,20101231,0.133,IBM
12490,20091231,20100930,20110131,0.133,IBM
12490,20101231,20101231,20110228,0.130,IBM
12490,20101231,20101231,20110331,0.130,IBM
12490,20101231,20101231,20110430,0.130,IBM
12490,20101231,20110331,20110531,0.115,IBM
12490,20101231,20110331,20110630,0.115,IBM
12490,20101231,20110331,20110731,0.115,IBM
12490,20101231,20110630,20110831,0.113,IBM
12490,20101231,20110630,20110930,0.113,IBM
12490,20101231,20110630,20111031,0.113,IBM
12490,20101231,20110930,20111130,0.108,IBM
12490,20101231,20110930,20111231,0.108,IBM
12490,20101231,20110930,20120131,0.108,IBM
12490,20111231,20111231,20120229,0.097,IBM
12490,20111231,20111231,20120331,0.097,IBM
12490,20111231,20111231,20120430,0.097,IBM
12490,20111231,20120331,20120531,0.086,IBM
12490,20111231,20120331,20120630,0.086,IBM
12490,20111231,20120331,20120731,0.086,IBM
12490,20111231,20120630,20120831,0.092,IBM
12490,20111231,20120630,20120930,0.092,IBM
12490,20111231,20120630,20121031,0.092,IBM
12490,20111231,20120930,20121130,0.092,IBM
12490,20111231,20120930,20121231,0.092,IBM
12490,20111231,20120930,20130131,0.092,IBM
12490,20121231,20121231,20130228,0.090,IBM
